pool_id,tvl_usd,current_votes,projected_rewards,pool_name,pool_type
0xe62a34Ae5e0B9FdE3501Aeb72DC9585Bb3B72A7e,13888.01943,0,318.7560503,WETH/BAES,partner
0x9f08E5b5c6219531962D30859D3F84244A671011,69.8125516,0,0.02366492585,WETH/LUNA,non_partner
0xFB1F03ac39418C9B150ddB7E82e4a9622968E09E,2.855949301,0,0.01007904933,WETH/DONUT,partner
0x4964Af09aE3Cab10cbc16f78a20A3690A39507D9,0.0009334328903,0,0.008620057555,GAME/WETH,non_partner
0x3dB9404376aB007139495Cb8F33C479A00473421,0.008918151543,0,0,GAME/USDC,non_partner
0xAbC8134375A48542b66bdbf30B308255B7fd635F,567.8864525,61.60043609,0.5534438624,USDC/CHECK,non_partner
0x567b69f72c0a2689C9be0cfBa576Af3CAA896Cb2,289.5458659,53.90038158,0.4447362198,WETH/CHECK,non_partner
0x7A730f3643D31DEd71333A2c3c7889f788f5Cd79,0.000397285928,0,0,USDC/RIZE,non_partner
0x763ADCf71cB195184088A26BE01662119E303F5f,93550.45301,0,501.5566716,AZUSD/USDC,partner
0xdF7d47cb2a669852f9E9C3022776ec66EDb217ce,21367.83994,2372.566292,1108.200868,REPLY/WETH,partner
0x7E36bfd22c8Cfa3f497901af398d0de0F4616c60,17.36702268,0,0.01218583132,STAR/WETH,partner
0xd3D41F050554401bB70340690a25f9cED7531493,7077.199005,2552.215592,15.31795112,WETH/HBET,partner
0xCd280042F629FA2384179911f9Cb1F932b9F26C8,7892.664637,2229.923756,22.45332355,KIBBLE/USDC,partner
0xAFa8740bD6a2AC2a99Ac02659bB927bE27E72D42,133711.3666,2274.892882,94.85178308,RYFT/WETH,partner
0x30816A9e6572407A83BA5fD18e145D9dd81540f5,40973.52251,590.3276486,1.70151835,AZUSD/TGN,partner
0x29262772a1a99f180aC2e70093954CF4adf3CD85,52278.37879,113164.9355,49.12466348,frxUSD/BRZ,partner
0x84994103403C715bace3bFb42f074F50E5432D55,150.4722795,0,0.01455694897,IDRX/frxUSD,partner
0xd4610403F0a93611ca76a5847743533268efF793,140.5541691,0,0,tGBP/frxUSD,partner
0x4506B0e9a7b0B06185fF317cEF77bc5454B045C9,303940.3574,2497.851079,33.46088627,fxUSD/USDC,partner
0xe949e084E2252c97c905bD2A7b8DE893EdfA35D1,0.07635986772,0,0.000003788166361,WETH/PROV,partner
0x8C09672caB06ee83F57403F195799D062D2a31D4,45.54449676,975.461969,3.573555458,WETH/MOLT,non_partner
0x3226A68da690D70ae812a25ca7c4C02D07941B81,75264.46746,18722.24948,33.91251624,kVCM/AZUSD,partner
0x52fde427c2483bA0749140C0B43cfce73ba50D20,32459.30154,191482.9653,1490.356824,BNKR/fxUSD,partner
0x2D9b441c4333b0383A27ad751F9190aB18b0B349,510.5120856,0,183.2248112,fxUSD/MOLT,partner
0xfBf4be25Bc0624e36369cd8Ee2A731eba37509DA,90.32942025,1381.440928,6.713425892,fxUSD/CLAWNCH,partner
0x1Ba2D4125D838200aAB35a61f1570b054785d978,68.0999422,656.3950719,2.433621751,fxUSD/CLAWD,partner
0xab5d32fF95b58bD5e77De08738a391973eE88C81,0,0,0,wtCOIN/USDC,non_partner
0x01CEa5a4D5Ee16BEC9749ab57B0b772DcA9A9A45,50.18843963,0,0,WETH/BSTR,non_partner
0xfF8B29e9f536F9A43DA7868011b7B667fa8d73f7,347172.3767,8.226195811,0.01892756314,USDC/HYDX,non_partner
0xb4155F70e5bbd55E17E73a2eA824Cb759c4DEc3B,,,0,WETH/HYDX,non_partner
0x605abD1873737CA9a9Ec1CFa52CDfc8ef62c2E1d,36615.36935,1809.862074,57.05913795,HYDX/USDC,non_partner
0xBEEFE94c8aD530842bfE7d8B397938fFc1cb83b2,2587141.043,4256.927452,1692.982668,USDC (Steakhouse),non_partner
0xbEEf050a7485865A7a8d8Ca0CC5f7536b7a3443e,757500.5603,964.7929142,431.344866,WETH (Steakhouse),non_partner
0xBeEF086b8807Dc5E5A1740C5E3a7C4c366eA6ab5,246366.6352,16054.00124,24.4773598,EURC (Steakhouse),non_partner
0x4C1aeda9B43EfcF1da1d1755b18802aAbe90f61E,220935.1742,0,240.358702,USDC (AlphaGrowth),non_partner
0x07e72E46C319a6d5aCA28Ad52f5C41a7821989Ad,99566.60894,4.113097906,8.127359722,WETH/USDC,non_partner
0xCf27Dd90878Dd88FD58bFfFCBDfBC7E0Cf7cd779,277284.6314,4.113097906,0.1525572909,WETH/cbBTC,non_partner
0x91EB3c5928A08B9aDa859C447F7cc0fFDd7ef097,135669.071,0,0.000373209346,USDC/DAI,non_partner
0x6c656bc859fAf5dB64Ee1ea96465f9829522a11a,3805.16528,0,0.00001362519602,DAI/USDC,non_partner
0x558684fDAd1D3b69f920b0C8E5Ae9ff797e3f045,793709.0056,0,0.2956387173,cbBTC/WETH,non_partner
0x1A190792429734ad03812A766f8fe6e1a7c229c8,1686.568356,0,0,cbBTC/wstETH,non_partner
0xB7Fd5E86385B8A7ed6c73413D24Ce55d6952706D,1907.759725,0,0.0008384392837,wstETH/cbBTC,non_partner
0xd2c9f1b70e12a7BDf104e7Ac2096A62d337BbaFa,0.098853,0,0,GOO/cbBTC,non_partner
